horse,horseLabel,mother,father,birthyear,genderLabel
Q1001792,Makybe Diva,Q14949904,Q5263956,1999,female organism
Q1005232,Rock of Gibraltar,missing,Q1005468,1999,male organism
Q1005468,Danehill,Q61987321,Q1104509,1986,male organism
Q1012807,Lammtarra,Q7548189,Q26798,1992,male organism
Q1016696,Burmese,missing,missing,missing,female organism
Q1018502,Byerley Turk,missing,missing,1684,male organism
Q1026641,Caletto I,missing,Q1131753,1975,male organism
Q1026643,Caletto II,missing,Q1131753,1978,male organism
Q10271114,El Asteroide,missing,missing,1960,missing
Q1027559,Calvaro Z,missing,Q1026641,1987,male organism
Q10276372,Estensoro,missing,missing,1955,missing
Q10280226,Farwell,missing,missing,1956,missing
Q10290268,Glória de Campeão,missing,missing,2003,male organism
Q1032366,Majestic Prince,Q61986019,Q11349325,1966,male organism
Q10355915,Quari Bravo,missing,missing,1994,missing
Q10401505,Adrian Chip,missing,missing,2004,missing
Q1042741,Nonoalco,missing,Q3307189,1971,male organism
Q10430773,Björsells Briar 899,missing,missing,missing,missing
Q10434730,Brandklipparen,missing,missing,missing,missing
Q10438085,Butterfly Flip,missing,Q10656182,1991,female organism
Q10453480,Citation,missing,missing,2001,missing
Q10457469,Commander Crowe,missing,missing,2003,missing
Q1048383,Cassini I,missing,missing,1988,male organism
Q10493183,Expert Ox,missing,missing,missing,missing
Q10499345,From Above,missing,missing,1998,missing
Q10506996,Going Kronos,missing,missing,2003,missing
Q1051250,Catoki,missing,missing,1998,male organism
Q10518312,Harry Boy,missing,missing,missing,missing
Q10523962,Hilda Zonett,missing,missing,1997,missing
Q10526537,Hot Tub,missing,missing,missing,missing
Q10527143,Humorist,missing,missing,missing,missing
Q10533392,Iceland,missing,missing,2004,missing
Q10534861,Ina Scot,missing,missing,1989,missing
Q10556424,Legolas,missing,missing,1978,missing
Q10575407,Maharajah,missing,missing,2005,missing
Q1058802,Dubai Millennium,missing,Q7445798,1996,male organism
Q10591868,Mynta,missing,Q10656182,missing,female organism
Q1060692,Chambertin,missing,missing,1993,male organism
Q10622318,Peleng (häst),missing,missing,missing,missing
Q10650831,Remington Crown,missing,missing,1993,missing
Q10651593,Rex Rodney,missing,missing,missing,missing
Q10656182,Robin Z,missing,missing,missing,male organism
Q10660117,Sahara Dynamite,missing,missing,2004,missing
Q10674599,Speedy Crown,missing,missing,missing,missing
Q10678152,Steinlager,missing,Q11972363,1998,missing
Q10681657,Streiff,missing,missing,missing,male organism
Q10684844,Svensk Travsport,missing,missing,missing,missing
Q10704706,Triton Sund,missing,missing,2001,missing
Q10711590,Utter (häst),missing,missing,missing,missing
Q10714249,Verner (travhäst),missing,missing,missing,missing
Q10715882,Viola Silas,missing,missing,2006,missing
Q10717674,Värmlandshäst,missing,missing,missing,missing
Q10719522,Wega,Q18202358,missing,2001,female organism
Q10719568,Welsh ponny (sektion D),missing,missing,missing,missing
Q10720750,Wyomisk vildhäst,missing,missing,missing,missing
Q10724779,Zoogin,missing,missing,1990,missing
Q10727020,Çukurovahäst,missing,missing,missing,missing
Q10727733,Öselponny,missing,missing,missing,missing
Q1076143,Native Dancer,Q55079388,Q7226614,1950,male organism
Q1083118,Ruffian,Q7494198,Q7318397,1972,female organism
Q1083357,Goldikova,missing,Q4750541,2005,female organism
Q10879991,Akeed Mofeed,missing,Q5310663,2009,male organism
Q10887476,Floral Pegasus,missing,missing,missing,missing
Q10894648,Takeover Target,missing,Q5058531,1999,missing
Q10901653,Packing Winner,missing,Q8063464,2002,missing
Q10920078,Johan Cruyff,missing,Q1005468,1994,male organism
Q10923648,Helene Mascot,missing,Q3374316,2004,male organism
Q10932646,Durandal,missing,Q180387,1999,male organism
Q1093305,Zarkava,missing,Q11306420,2005,female organism
Q10940455,Uranus,missing,missing,1920,missing
Q10942413,Oriental Express,missing,missing,1993,missing
Q10942860,Armada,missing,Q11321092,2001,missing
Q1096659,Imperiál,missing,missing,1960,male organism
Q10981990,Asakusa Den'en,missing,Q7524216,1999,male organism
Q11007793,Preakness,missing,Q370429,1867,male organism
Q1101198,Matchem,missing,Q5016340,1748,male organism
Q11034408,Yukichan,Q11308284,Q11299831,2005,female organism
Q11039568,Ambitious Dragon,missing,missing,2006,male organism
Q11041122,Calstone Light O,missing,Q7969814,1998,male organism
Q1104509,Danzig,Q61985951,Q1969034,1977,male organism
Q1104636,Sadler's Wells,Q11332612,Q1969034,1981,male organism
Q1104649,Mr. Prospector,Q11303942,Q11349325,1970,male organism
Q11120041,Ultra Fantasy,missing,missing,2002,missing
Q11144439,Shotover,missing,Q5741736,1879,female organism
Q11147543,Mr Vitality,missing,missing,1991,missing
Q11164164,Miswaki,missing,Q1104649,1978,male organism
Q11251240,Whalebone,Q7162558,Q7975736,1807,male organism
Q1127291,Clever Hans,missing,missing,missing,missing
Q11282055,Iron Look,missing,Q11284104,2006,male organism
Q11282151,Isinglass,Q61994307,Q6086160,1890,male organism
Q11282173,Icecapade,missing,Q3307189,1969,male organism
Q11282257,アイディンサマー,missing,Q11305095,1997,male organism
Q11282362,Ines Fujin,missing,Q11308892,1987,male organism
Q11282404,アイフル,missing,Q11314327,1971,male organism
Q11282414,Eye Popper,missing,Q11304765,2000,male organism
Q11282424,I'm Yours,missing,Q5431678,2009,female organism
Q11282462,Irish Dance,missing,Q7821904,1990,female organism
Q11282471,アイルトンシンボリ,missing,Q11308703,1989,male organism
Q11282483,アイルラヴァゲイン,missing,Q5351060,2002,male organism
Q11282509,アインアイン,missing,Q11329799,1997,female organism
Q11282520,アインブライド,missing,Q5152210,1995,female organism
Q11282571,アイーンベル,missing,Q180387,2001,female organism
Q11282594,Auslese,missing,Q11314942,2002,female organism
Q11282708,アカネテンリュウ,missing,Q11318040,1966,male organism
Q11282780,アキヒロホマレ,missing,missing,1985,male organism
Q11282906,Axion,missing,Q180387,2003,male organism
Q11282996,アクチブハトリ,missing,missing,1986,male organism
Q11283008,アクティブバイオ,missing,Q7096598,1997,male organism
Q11283068,アグネスカミカゼ,missing,Q180387,1993,male organism
