year,count
1999,25
1986,18
1992,19
missing,35
1684,1
1975,12
1978,10
1960,7
1987,19
1955,9
1956,8
2003,40
1966,3
1994,25
2004,32
1971,12
1991,28
2001,34
1988,12
1998,26
1997,30
1989,17
2005,42
1996,21
1993,28
2006,36
1990,17
1950,4
1972,7
2009,12
2002,42
1920,1
1867,1
1748,1
1977,10
1981,13
1970,9
1879,1
1807,1
1890,1
1969,16
2000,26
1995,32
1985,17
1976,4
1964,3
1983,14
1959,1
1928,2
1935,2
1921,1
1979,13
2007,25
1984,16
2008,14
2010,8
1915,1
1937,1
1967,5
1929,2
1944,2
1948,7
1974,6
1947,2
1980,10
1787,1
1961,3
1962,7
1982,10
1932,4
1926,2
1957,8
1968,4
1954,3
1946,5
1931,2
1952,3
1901,1
1941,1
1973,7
1930,2
1909,1
1949,4
1953,3
1965,5
1933,1
1936,2
1939,1
1908,1
1934,1
1951,3
1927,2
1764,1
1898,1
1784,1
1924,1
1958,1
1919,1
1963,4
1902,1
1732,1
1945,1
1905,1
